,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
675,conde,br,-11.813,-37.6139,77.4,82.0,12.0,10.56
676,tolosa,es,43.1386,-2.0724,48.96,88.0,92.0,8.1
679,ayagoz,kz,47.9649,80.4301,30.13,92.0,92.0,3.06
687,tynda,ru,55.1497,124.7376,-15.33,56.0,0.0,2.73
688,scarborough,tt,11.1833,-60.7334,82.65,100.0,48.0,18.05
691,coihaique,cl,-45.5753,-72.0662,49.5,66.0,68.0,7.43
693,port hardy,ca,50.6996,-127.4199,51.3,74.0,32.0,4.63
694,shouguang,cn,36.8762,118.7323,50.74,91.0,24.0,11.68
695,lhokseumawe,id,5.179,97.1481,81.48,100.0,8.0,6.2
698,kailua,us,21.3936,-157.7438,79.27,70.0,80.0,14.03
701,atar,mr,20.5183,-13.0544,60.4,17.0,0.0,7.2
702,ipixuna,br,-1.7625,-48.8044,72.66,100.0,92.0,2.73
703,flin flon,ca,54.7698,-101.879,25.3,63.0,0.0,4.41
708,tazovskiy,ru,67.4667,78.7,-6.43,100.0,76.0,16.26
711,bathsheba,bb,13.2167,-59.5167,81.09,100.0,76.0,19.62
720,ponta delgada,pt,37.7333,-25.6667,56.1,100.0,76.0,23.76
722,kandi,bj,11.1299,2.9342,69.62,44.0,0.0,6.2
725,sembe,cg,1.6481,14.5806,73.2,90.0,0.0,3.4
731,tabas,ir,33.596,56.9247,40.48,39.0,44.0,2.62
733,killybegs,ie,54.6333,-8.45,46.81,91.0,80.0,22.08
742,sao felix do xingu,br,-6.6448,-51.995,78.46,87.0,88.0,2.28
743,prudentopolis,br,-25.2131,-50.9778,76.86,89.0,48.0,2.28
746,staryy krym,ua,45.0333,35.1,46.53,95.0,0.0,17.49
748,diffa,ne,13.3154,12.6113,61.3,18.0,0.0,6.53
756,muravlenko,ru,63.7948,74.4969,14.41,83.0,88.0,10.0
760,tilichiki,ru,60.4667,166.1,-24.63,43.0,0.0,2.95
763,jiutai,cn,44.1531,125.8405,17.91,93.0,80.0,18.28
766,fagersta,se,60.0039,15.7906,16.02,81.0,0.0,2.39
770,nome,us,30.0358,-94.4244,69.21,46.0,0.0,5.19
772,lodwar,ke,3.1166,35.6,73.71,90.0,80.0,3.62
775,manicaragua,cu,22.1443,-79.9738,77.23,46.0,0.0,9.78
776,nayudupeta,in,13.9091,79.8965,63.61,92.0,0.0,2.62
778,abu kamal,sy,34.4506,40.9171,54.57,26.0,20.0,9.78
783,bulgan,mn,48.8129,103.5323,-5.37,67.0,0.0,2.84
785,ust-koksa,ru,50.2696,85.6156,14.52,82.0,44.0,1.95
788,college,us,64.8569,-147.8028,26.31,93.0,92.0,4.18
792,songjianghe,cn,42.1782,127.481,18.25,97.0,92.0,7.09
796,vao,nc,-22.6667,167.4833,80.96,96.0,80.0,15.93
798,grand-lahou,ci,5.2443,-5.0035,75.13,81.0,0.0,7.2
801,montego bay,jm,18.4725,-77.9218,82.2,100.0,24.0,3.51
807,sao jose da coroa grande,br,-8.8978,-35.1478,75.69,79.0,0.0,9.22
814,najran,sa,17.544,44.2247,67.86,36.0,36.0,4.97
816,tonneins,fr,44.3906,0.3092,53.82,54.0,100.0,10.33
817,tura,ru,64.2742,100.217,-4.98,74.0,48.0,2.28
821,hamilton,bm,32.2956,-64.7828,65.86,100.0,92.0,24.87
822,atasu,kz,48.6814,71.6433,15.98,75.0,44.0,6.42
829,tubuala,pa,9.5167,-79.0334,91.51,96.0,92.0,9.1
831,tommot,ru,58.9685,126.2669,-5.63,52.0,36.0,3.29
833,yamada,jp,36.5791,137.0802,42.53,100.0,24.0,4.52
834,de-kastri,ru,51.4754,140.769,16.45,100.0,88.0,11.23
835,teya,ru,60.3731,92.6306,7.9,72.0,76.0,5.3
837,marystown,ca,47.1658,-55.158,40.17,88.0,0.0,20.85
844,pocone,br,-16.2567,-56.6228,86.41,62.0,32.0,4.97
845,koshurnikovo,ru,54.3006,93.3948,1.11,54.0,0.0,3.96
846,rabat,ma,34.0224,-6.8346,61.32,86.0,92.0,19.51
848,sarangani,ph,5.4033,125.4636,81.7,100.0,32.0,2.17
852,yarmouth,ca,43.8373,-66.1157,37.17,89.0,44.0,23.09
854,mbengwi,cm,6.0032,10.0138,57.22,94.0,56.0,2.17
855,cockburn town,bs,24.0333,-74.5167,69.08,100.0,92.0,14.81
863,havre-saint-pierre,ca,50.2334,-63.5987,32.47,91.0,92.0,28.12
867,karratha,au,-20.7371,116.8479,73.6,80.0,0.0,8.55
873,hornepayne,ca,49.2167,-84.7834,30.0,69.0,80.0,4.85
881,ketchikan,us,55.3422,-131.6462,50.77,86.0,56.0,5.08
884,shwebo,mm,22.5667,95.7,63.18,77.0,0.0,3.74
885,challans,fr,46.8479,-1.8774,52.05,94.0,92.0,20.29
886,diego de almagro,cl,-26.3911,-70.046,74.21,62.0,0.0,3.62
887,shaowu,cn,27.3438,117.4872,58.23,98.0,92.0,2.06
890,ambilobe,mg,-13.1945,49.05,75.16,94.0,100.0,3.51
892,saint george,bm,32.3817,-64.6781,65.86,100.0,92.0,24.87
896,terra roxa,br,-20.7871,-48.3315,90.61,61.0,36.0,2.95
903,abilene,us,32.4465,-99.7334,71.55,25.0,0.0,10.67
906,muisne,ec,0.6104,-80.0186,84.88,59.0,68.0,6.76
908,inirida,co,3.8653,-67.9239,97.47,34.0,0.0,2.39
909,guderup,dk,54.9913,9.8681,35.4,94.0,80.0,13.24
913,aksha,ru,50.2808,113.2851,-12.36,65.0,0.0,3.96
914,sola,vu,-13.8834,167.55,83.52,98.0,76.0,9.89
915,sistranda,no,63.7256,8.834,24.96,100.0,0.0,12.46
916,deputatskiy,ru,69.3,139.9,-29.21,44.0,48.0,2.84
917,chapais,ca,49.7839,-74.8569,30.31,84.0,88.0,8.99
918,sao joao da barra,br,-21.6403,-41.0512,85.32,95.0,20.0,16.71
923,talnakh,ru,69.494,88.3908,6.24,83.0,76.0,21.85
925,lorengau,pg,-2.0226,147.2712,81.1,100.0,76.0,6.76
926,makakilo city,us,21.3469,-158.0859,79.29,70.0,80.0,14.03
927,oda,gh,5.9059,-0.9967,70.45,97.0,24.0,2.73
929,aguada de pasajeros,cu,22.3843,-80.8487,79.23,58.0,0.0,12.12
930,waitati,nz,-45.7479,170.5729,68.68,67.0,88.0,8.43
931,okhotsk,ru,59.3644,143.2411,-12.11,100.0,0.0,3.62
933,mangan,in,27.4974,88.5362,14.22,60.0,0.0,1.39
934,havelock,us,34.8785,-76.9015,46.04,100.0,12.0,18.5
940,taoudenni,ml,22.6783,-3.9837,52.18,19.0,0.0,2.73
945,araioses,br,-2.891,-41.905,75.6,95.0,68.0,5.64
948,bubaque,gw,11.2833,-15.8334,78.84,98.0,32.0,11.23
950,leshukonskoye,ru,64.8989,45.7622,13.17,69.0,88.0,11.9
953,prince rupert,ca,54.3161,-130.3202,51.17,83.0,76.0,5.53
956,rio grande,br,-32.0335,-52.0992,80.87,68.0,0.0,11.45
960,sambava,mg,-14.2667,50.1667,74.82,100.0,100.0,24.32
970,buraydah,sa,26.3317,43.9717,69.94,33.0,12.0,2.17
972,port augusta,au,-32.4909,137.764,57.6,87.0,20.0,2.73
976,subiaco,it,41.9267,13.0944,40.5,95.0,0.0,1.95
977,araouane,ml,18.9041,-3.5276,67.71,16.0,64.0,7.76
979,santa cruz,cr,10.2599,-85.5847,95.13,45.0,8.0,12.46
985,nipawin,ca,53.3628,-104.0172,28.76,95.0,0.0,6.87
991,chumikan,ru,54.7183,135.315,-1.03,73.0,44.0,2.95
1002,namatanai,pg,-3.6642,152.4407,81.86,100.0,12.0,7.2
1010,kuruman,za,-27.4589,23.4303,55.49,79.0,56.0,3.18
1014,concepcion,py,-23.4064,-57.4345,93.4,57.0,0.0,11.34
1015,yerofey pavlovich,ru,53.9667,121.9667,-9.77,59.0,0.0,2.84
1017,shimoda,jp,34.701,138.9287,59.36,100.0,0.0,18.84
1027,djougou,bj,9.7107,1.6652,76.84,46.0,0.0,8.32
1028,mingguang,cn,32.784,118.0127,57.09,94.0,64.0,6.98
1032,musoma,tz,-1.4999,33.8083,68.18,98.0,24.0,3.51
1043,logumkloster,dk,55.0594,8.9551,34.12,89.0,88.0,10.0
1044,tizimin,mx,21.143,-88.1527,83.28,51.0,88.0,9.1
1049,walvis bay,na,-22.9544,14.5075,63.55,100.0,0.0,14.7
1051,sisimiut,gl,66.9395,-53.6735,10.31,87.0,80.0,1.95
1053,aitape,pg,-3.1511,142.3594,76.55,100.0,88.0,7.87
1056,sagua la grande,cu,22.8059,-80.0726,74.61,72.0,0.0,15.59
1057,maldonado,uy,-34.9088,-54.9583,81.57,59.0,0.0,7.65
1065,skegness,gb,53.1436,0.3363,45.43,88.0,24.0,26.33
1066,sovetskiy,ru,56.763,48.4743,16.93,83.0,8.0,17.38
1070,vagamo,no,61.8751,9.0967,-4.69,67.0,24.0,1.83
1074,kasongo-lunda,cd,-6.4787,16.8168,68.45,91.0,88.0,2.39
1075,reinosa,es,43.001,-4.1379,51.19,71.0,44.0,12.46
1076,roma,au,-26.5674,148.7875,59.5,86.0,0.0,6.08
1080,machinga,mw,-15.1777,35.2994,72.84,90.0,92.0,3.4
1081,mandalgovi,mn,45.763,106.2704,2.98,71.0,0.0,3.18
1084,sawtell,au,-30.3834,153.1,62.87,100.0,0.0,2.17
1101,meulaboh,id,4.1363,96.1285,78.06,100.0,80.0,2.17
1109,distraccion,co,10.8969,-72.8862,79.09,53.0,32.0,1.95
1119,sturgeon falls,ca,46.3646,-79.9327,31.77,66.0,64.0,7.43
1121,vikhorevka,ru,56.1247,101.172,0.52,70.0,20.0,4.41
1123,richards bay,za,-28.7745,32.0555,71.35,83.0,8.0,2.51
1129,matara,lk,5.9485,80.5353,76.77,100.0,24.0,6.42
1131,tevaitoa,pf,-16.7834,-151.5,81.81,100.0,56.0,8.21
1133,sinnamary,gf,5.3772,-52.9574,78.42,95.0,92.0,11.45
1136,socorro,us,31.6546,-106.3034,74.79,25.0,76.0,13.24
1138,evreux,fr,49.0241,1.1508,49.64,67.0,88.0,16.6
1143,preobrazheniye,ru,42.9019,133.9064,29.3,94.0,64.0,1.83
1145,hargeysa,so,9.56,44.065,53.8,91.0,0.0,2.73
1147,fayaoue,nc,-20.65,166.5333,82.62,97.0,36.0,15.59
1148,biak,id,-0.9132,122.8766,77.74,100.0,68.0,2.51
1151,tukums,lv,56.9667,23.1698,29.32,96.0,48.0,12.46
1154,axim,gh,4.8654,-2.2422,81.64,100.0,64.0,10.22
1155,ndago,tz,-4.6,34.35,62.15,94.0,44.0,2.95
1157,shetpe,kz,44.1402,52.1601,20.14,79.0,0.0,9.44
1158,sao paulo de olivenca,br,-3.3784,-68.8725,89.29,53.0,44.0,2.73
1159,bertinoro,it,44.1487,12.1342,44.29,73.0,0.0,8.55
1166,ixtapa,mx,20.715,-105.2067,78.96,43.0,0.0,2.95
1168,anadyr,ru,64.7317,177.5061,-6.9,92.0,76.0,17.49
1175,wajid,so,3.8093,43.2471,65.71,95.0,44.0,6.98
1179,kranea elassonos,gr,39.9483,21.9658,38.32,65.0,0.0,2.62
1181,kumluca,tr,36.3657,30.2875,25.97,90.0,8.0,1.5
1186,usinsk,ru,65.9957,57.5571,-6.0,76.0,64.0,13.47
1192,uhlove,ua,44.8215,33.6045,46.99,96.0,48.0,15.03
1200,sur,om,22.5702,59.5299,73.24,100.0,0.0,4.29
1207,balsas,br,-7.5322,-46.0372,81.01,73.0,32.0,4.74
1208,tessalit,ml,20.2009,1.014,60.12,21.0,8.0,7.2
1210,charters towers,au,-20.0715,146.271,64.27,91.0,0.0,1.28
1211,taltal,cl,-25.408,-70.4859,71.98,52.0,0.0,4.41
1212,chunian,pk,30.9632,73.9807,59.0,83.0,0.0,9.44
1214,trelew,ar,-43.2532,-65.3095,63.36,23.0,0.0,19.06
1218,srednekolymsk,ru,67.4555,153.7071,-24.65,73.0,56.0,3.29
1219,bokhan,ru,53.153,103.7714,0.77,58.0,0.0,5.97
1226,mamallapuram,in,12.6264,80.1722,81.36,100.0,12.0,6.98
1229,port hedland,au,-20.3112,118.5801,70.43,88.0,0.0,3.85
1230,svetlogorsk,ru,53.1375,59.1545,17.06,62.0,32.0,3.4
1232,constitucion,mx,23.9912,-104.675,84.56,23.0,0.0,7.31
1236,oskemen,kz,49.9565,82.6119,27.05,85.0,92.0,2.51
1238,launceston,au,-41.4341,147.1373,53.04,92.0,88.0,4.41
1239,mafra,br,-26.1151,-49.8036,71.73,94.0,64.0,2.95
1243,hami,cn,42.8354,93.5128,49.1,42.0,68.0,15.26
1245,fort pierce,us,27.4467,-80.3257,67.96,64.0,0.0,14.47
1246,sioux lookout,ca,50.1001,-91.9191,27.01,57.0,0.0,10.22
1256,marhaura,in,25.9667,84.8667,69.35,56.0,0.0,2.84
1261,dalby,au,-27.1823,151.2634,57.16,87.0,8.0,10.45
1265,sampit,id,-2.539,112.9494,72.82,96.0,48.0,2.95
1266,quesnel,ca,52.9768,-122.4949,39.63,100.0,92.0,2.84
1268,mandera,ke,3.9366,41.867,74.12,76.0,12.0,7.76
1269,buenos aires,hn,14.1152,-87.2041,88.12,34.0,0.0,4.97
1270,alibag,in,18.6411,72.8792,83.37,92.0,100.0,14.47
1271,dalvik,is,65.9702,-18.5287,34.86,88.0,56.0,8.66
1273,baculin,ph,7.4525,126.5842,76.06,96.0,24.0,7.54
1282,campbell river,ca,50.0163,-125.2446,48.76,90.0,64.0,2.84
1284,matagami,ca,49.7569,-77.6272,25.52,78.0,68.0,7.99
1287,santa isabel,mx,32.6293,-115.5751,79.9,39.0,0.0,10.11
1289,pakxan,la,18.3924,103.6593,65.61,99.0,48.0,2.06
1292,grand island,us,40.9243,-98.3387,70.03,35.0,0.0,9.66
1294,mogadishu,so,2.0428,45.3386,80.89,100.0,0.0,13.91
1295,kalianget,id,-7.3459,109.9109,59.45,88.0,24.0,2.39
1297,joao pinheiro,br,-17.7425,-46.1726,80.6,59.0,0.0,8.21
1313,dharchula,in,29.85,80.5333,33.98,96.0,88.0,1.39
1316,iquique,cl,-20.2209,-70.1431,73.26,84.0,32.0,7.2
1317,paita,pe,-5.0851,-81.1138,86.67,51.0,36.0,10.22
1329,dali,cn,25.6024,100.2449,34.97,100.0,0.0,1.95
1330,fort nelson,ca,58.8063,-122.694,42.21,63.0,0.0,1.72
1331,newport,us,41.49,-71.3138,39.52,89.0,8.0,16.15
1351,trincomalee,lk,8.5764,81.2345,71.31,91.0,12.0,3.18
1357,kargasok,ru,59.0598,80.8709,11.14,73.0,80.0,7.76
1364,chitral,pk,35.8508,71.7903,21.0,86.0,80.0,0.94
1366,bennington,us,42.8783,-73.1972,33.21,67.0,88.0,6.98
1367,gori,ge,41.9874,44.109,29.14,86.0,56.0,2.95
1368,okato,nz,-39.1896,173.8803,65.86,97.0,88.0,11.56
1370,nyurba,ru,63.2866,118.3541,-9.86,66.0,36.0,2.73
1371,the valley,ai,18.217,-63.0579,81.57,98.0,0.0,15.48
1378,mangit,uz,40.5971,70.9607,41.38,99.0,92.0,1.95
1384,azare,ng,11.6729,10.1918,67.41,20.0,0.0,9.33
1388,mandurah,au,-32.55,115.7,69.78,100.0,92.0,6.76
1390,natal,br,-5.8054,-35.2081,82.26,73.0,32.0,10.33
1398,klaksvik,fo,62.2266,-6.5891,41.88,95.0,92.0,30.69
1399,tadine,nc,-21.55,167.8833,83.57,92.0,8.0,14.47
1403,muzhi,ru,65.4,64.7019,-10.72,82.0,76.0,9.22
1405,seydisehir,tr,37.4193,31.8453,34.92,87.0,44.0,2.62
1407,namibe,ao,-15.1902,12.1531,76.39,100.0,32.0,4.41
1409,tuburan,ph,10.7295,123.8239,78.33,100.0,68.0,7.09
1410,galesong,id,-5.3166,119.3661,75.88,97.0,92.0,5.75
1413,fairview,ca,56.0671,-118.381,36.16,99.0,24.0,5.3
1425,witu,ke,-2.3878,40.4393,74.7,94.0,0.0,3.4
1431,macomer,it,40.262,8.7699,42.98,89.0,56.0,2.28
1432,maraa,br,-1.8334,-65.3667,96.55,42.0,20.0,6.76
1433,saint-pierre,pm,46.7654,-56.1695,36.55,87.0,0.0,28.23
1442,aketi,cd,2.7359,23.7791,69.21,99.0,56.0,2.39
1443,aksarka,ru,66.5606,67.7975,-18.93,51.0,32.0,6.87
1448,uruzgan,af,32.9278,66.6325,11.91,68.0,0.0,1.28
1449,kendari,id,-3.9919,122.518,75.31,86.0,88.0,4.52
1458,moussoro,td,13.6406,16.4908,68.32,13.0,0.0,11.01
1463,vieira de leiria,pt,39.8682,-8.9362,54.23,97.0,88.0,17.49
1466,ivanovo,ru,56.9984,40.9737,21.92,90.0,92.0,18.61
1469,pandan,ph,11.7199,122.0946,80.33,100.0,8.0,14.47
1473,liverpool,ca,44.0374,-64.7138,37.89,85.0,8.0,28.34
1475,westport,ie,53.8001,-9.5203,45.72,92.0,88.0,18.16
1479,athy,ie,52.9924,-6.9836,46.72,97.0,92.0,23.98
1486,tabasco,mx,21.8653,-102.9131,82.35,16.0,0.0,6.08
1491,kamennomostskiy,ru,44.2931,40.1821,29.25,81.0,0.0,2.39
1493,anjar,in,23.1104,70.0283,64.11,66.0,0.0,8.77
1494,arvin,us,35.2091,-118.8285,51.26,88.0,68.0,3.4
1497,ust-ordynskiy,ru,52.805,104.7508,0.9,71.0,0.0,7.31
1499,cartagena del chaira,co,1.3349,-74.8429,86.23,62.0,48.0,1.83
1505,tautira,pf,-17.7334,-149.15,82.67,100.0,48.0,11.9
1506,coquimbo,cl,-29.9532,-71.3381,70.47,89.0,0.0,8.77
1515,labuhan,id,-2.5409,115.5092,71.29,98.0,56.0,0.49
1520,tucumcari,us,35.1719,-103.7251,71.19,26.0,0.0,18.05
1524,yeppoon,au,-23.1349,150.7437,68.22,76.0,0.0,13.69
1526,ambon,id,-3.6955,128.1814,78.53,100.0,80.0,7.2
1528,sharjah,ae,25.3585,55.3895,68.49,100.0,0.0,10.22
1535,nenjiang,cn,49.1735,125.2312,-8.63,75.0,0.0,7.2
1545,erdenet,mn,49.0275,104.0448,-12.02,61.0,0.0,2.62
1548,vila velha,br,-3.7125,-38.6045,85.26,98.0,80.0,15.37
1562,hachinohe,jp,40.4707,141.4816,53.24,73.0,0.0,7.99
1563,puerto montt,cl,-41.4719,-72.9397,52.99,71.0,76.0,3.96
1564,turka,ru,52.9507,108.222,-8.59,60.0,0.0,2.17
1565,poum,nc,-20.2334,164.0167,82.45,96.0,56.0,19.06
1566,mount barker,au,-35.0642,138.8586,55.04,100.0,24.0,5.64
1568,vardo,no,70.3705,31.1107,17.55,100.0,48.0,13.8
1578,sorong,id,-0.8635,131.2545,82.72,100.0,0.0,11.23
1582,sao gabriel da cachoeira,br,-0.1303,-67.0892,91.87,56.0,20.0,2.73
1588,alta floresta,br,-9.8716,-56.084,81.81,76.0,44.0,2.06
1601,changji,cn,32.0671,116.1675,57.24,93.0,76.0,2.39
1602,caravelas,br,-17.7297,-39.2661,81.81,100.0,0.0,11.79
1603,lakes entrance,au,-37.8795,147.9944,60.98,100.0,68.0,8.88
1609,marsani,ro,44.0108,24.0147,47.28,72.0,20.0,11.45
1611,nioki,cd,-2.7204,17.6854,73.4,96.0,0.0,2.62
1616,vrangel,ru,42.7297,133.0839,33.93,93.0,8.0,4.74
1624,kalanguy,ru,51.0105,116.5209,-15.78,54.0,0.0,3.96
1627,ostrogozhsk,ru,50.8649,39.0772,36.64,95.0,92.0,13.47
1638,dwarka,in,28.5772,77.0443,68.09,37.0,0.0,4.63
1643,mehamn,no,71.035,27.8517,18.3,80.0,24.0,6.76
1646,puerto del rosario,es,28.5004,-13.8628,62.92,100.0,0.0,9.33
1651,metro,id,-5.1079,105.3079,74.89,100.0,56.0,2.51
1653,puerto escondido,mx,15.8624,-97.0717,82.13,100.0,8.0,6.98
1659,east wenatchee,us,47.4157,-120.2932,55.02,91.0,0.0,5.86
1660,coxim,br,-18.505,-54.7451,72.1,77.0,56.0,3.96
1663,armeria,mx,18.9333,-103.9667,84.94,34.0,0.0,6.64
1664,estelle,us,32.8662,-97.0131,68.25,37.0,0.0,7.43
1667,tigil,ru,57.8,158.6667,-9.21,65.0,8.0,4.52
1672,tromso,no,69.6489,18.9551,7.97,100.0,8.0,2.95
1673,simao,cn,22.7618,100.7911,45.52,81.0,0.0,2.17
1674,isangel,vu,-19.55,169.2667,83.34,100.0,20.0,14.47
1679,popondetta,pg,-8.7668,148.2375,68.45,95.0,64.0,1.95
1684,tomatlan,mx,19.9333,-105.25,86.2,52.0,0.0,4.97
1687,troitskiy,ru,45.1462,38.1411,48.83,92.0,0.0,11.56
1688,kez,ru,57.8979,53.7152,17.56,82.0,20.0,17.38
1689,lewisville,us,33.0462,-96.9942,68.16,37.0,0.0,7.43
1693,cheremukhovo,ru,56.2285,46.2313,15.71,78.0,20.0,12.57
1698,rastolita,ro,46.9726,24.9929,35.76,99.0,64.0,2.39
1708,ugoofaaru,mv,5.6667,73.0,81.61,100.0,92.0,12.24
1716,ila,ng,7.6667,4.6667,76.75,57.0,48.0,1.95
1726,zyryanskoye,ru,56.8342,86.6212,-12.27,40.0,0.0,6.76
1729,zhumadian,cn,33.0116,114.0165,55.62,94.0,8.0,4.63
1733,sarh,td,9.1406,18.3938,74.34,34.0,0.0,6.42
1734,niksic,me,42.774,18.9489,43.32,100.0,92.0,1.61
1737,stellenbosch,za,-33.9345,18.8692,64.33,98.0,68.0,8.1
1740,espinosa,br,-14.9233,-42.8094,66.52,97.0,24.0,2.39
1744,buritis,br,-15.6214,-46.4239,77.13,83.0,12.0,4.18
1745,bariri,br,-22.0747,-48.7395,86.25,70.0,24.0,2.73
1752,porto santo,pt,33.072,-16.3415,64.94,94.0,12.0,22.86
1755,lapeer,us,43.0514,-83.3189,36.97,72.0,44.0,15.7
1757,progreso,mx,20.2478,-99.1891,76.71,42.0,0.0,5.64
1758,khandyga,ru,62.6478,135.5751,-13.31,78.0,68.0,2.84
1760,suruc,tr,36.9761,38.425,46.78,63.0,76.0,5.75
1765,cangucu,br,-31.395,-52.6756,81.21,45.0,0.0,10.45
1773,darhan,mn,49.4867,105.9228,-7.91,56.0,0.0,4.52
1775,caucaia,br,-3.7301,-38.6594,85.26,98.0,80.0,15.37
1782,novyy urgal,ru,51.0736,132.5642,-13.09,48.0,0.0,4.97
1783,pilar,py,-26.8626,-58.3023,78.94,90.0,32.0,12.24
1787,gbarnga,lr,6.9963,-9.471,64.92,93.0,44.0,7.76
1789,sebina,bw,-20.8306,27.2196,65.66,58.0,0.0,10.0
1796,belmonte,br,-26.8449,-53.579,81.82,87.0,44.0,4.74
1797,praia da vitoria,pt,38.7333,-27.0667,57.45,100.0,76.0,27.67
